"","cname","code","v2x_polyarchy","v2x_libdem","v2x_partipdem","v2x_delibdem","v2x_egaldem","vdem.mean","p_polity2","fhi","fhi_polity2","grn.seat","r.rate","taxgap.shadow","qog","mean.schl","lit.rate","ldi","hfi","eps_mean","gdp.pc","reg.mean"
"101","Madagascar","MDG",0.446,0.252,0.245,0.258,0.221,0.2844,0.8,0.5,0.6916667,NA,NA,NA,0.33333334,6.1,69.7303115,"0.269",0.594961240310077,NA,"822.62",403.45521334
"102","Malawi","MWI",0.592,0.464,0.381,0.471,0.334,0.4484,0.8,0.5,0.7333333,NA,NA,NA,0.45833334,4.4,65.963829,"0.467",0.569767441860465,NA,"938.34998",403.49634666
"103","Malaysia","MYS",0.303,0.177,0.227,0.247,0.244,0.2396,0.75,0.5,0.625,NA,NA,1.97,0.6111111,10.2,94.7457015,"0.211",0.59108527131783,NA,"12284.27",403.42292
"104","Maldives","MDV",0.394,0.19,0.237,0.241,0.244,0.2612,NA,0.5,0.45072875,NA,NA,NA,NA,6.3,99.321022,"0.185",NA,NA,"13349.76",NA
"105","Mali","MLI",0.56,0.375,0.323,0.465,0.395,0.4236,0.75,0.5,0.5833333,NA,NA,NA,0.27777779,2.3,34.2713205,"0.366",0.422480620155039,NA,"1063.26",403.45138666
"106","Malta","MLT",0.774,0.589,0.589,0.635,0.648,0.647,NA,0,1,0,NA,NA,0.72222221,11.2,94.284901,"0.565",0.920542635658915,NA,"24094.641",NA
"107","Marshall Islands","MHL",NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,10.8,98.265083,"0.92",NA,NA,"2833.97",NA
"108","Mauritania","MRT",0.457,0.161,0.195,0.273,0.167,0.2506,0.4,1,0.325,NA,NA,NA,NA,4.3,52.123562,"0.177",0.319767441860465,NA,"2223.01",403.39512
"109","Mauritius","MUS",0.836,0.717,0.531,0.75,0.676,0.702,1,0,0.9583334,NA,NA,NA,NA,9.1,90.9707165,"0.712",0.788759689922481,NA,"10944.54",403.53206668
"110","Mexico","MEX",0.649,0.429,0.408,0.511,0.36,0.4714,0.9,0.5,0.7833333,NA,NA,5.93,0.375,8.6,94.9627515,"0.465",0.643410852713178,NA,"13609.42",403.53094666
"111","Micronesia","FSM",NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,8,93.9,"0.93",NA,NA,"2624.05",NA
"112","Moldova","MDA",0.579,0.477,0.408,0.425,0.438,0.4654,0.95,0.5,0.8083333,NA,NA,6,0.41666669,11.6,99.244392,"0.47",0.641472868217054,NA,"4207.8701",403.54474666
"113","Monaco","MCO",NA,NA,NA,NA,NA,NA,NA,0,0.94134331,NA,NA,NA,NA,NA,99,"0.84",NA,NA,"108481.13",NA
"114","Mongolia","MNG",0.656,0.514,0.386,0.549,0.514,0.5238,1,0,0.9583334,NA,NA,NA,0.5,10.1,98.395379,"0.493",0.76937984496124,NA,"6277.8999",403.49642668
"115","Montenegro","MNE",0.46,0.391,0.315,0.352,0.362,0.376,0.95,0.5,0.8083333,NA,NA,-6.51,NA,11.3,98.783564,"0.379",0.744186046511628,NA,"14538.52",403.52686666
"116","Morocco","MAR",0.294,0.243,0.213,0.29,0.199,0.2478,0.3,0.5,0.35833333,NA,NA,NA,0.55555558,5,72.730279,"0.261",0.476744186046512,NA,"3999.5601",403.281226666
